Nr.	Depth	Coverage	Quality	Probability	Positives	p-Value	Conditions
84	4	1621	0.26819321513175964	0.527452190006169	855.0	NaN	AREA_CONSTRUCAO in (422.97, 3444.27] AND AREA_TERRENO in (440.0, 21167.36] AND TIPO_CONSTRUTIVO = 'CASA' AND X in (608790.4, 614227.2]
85	3	1626	0.26777324080467224	0.525830258302583	855.0	NaN	AREA_CONSTRUCAO in (422.97, 3444.27] AND AREA_TERRENO in (440.0, 21167.36] AND TIPO_CONSTRUTIVO = 'CASA'
86	4	1509	0.2665799856185913	0.5434062292909212	820.0	NaN	Y in (-inf, 7793429.0] AND X in (609126.25, 614244.56] AND AREA_CONSTRUCAO in (403.95, 3444.27] AND AREA_TERRENO in (413.0, inf)
87	4	1509	0.2665799856185913	0.5434062292909212	820.0	NaN	Y in (-inf, 7793429.0] AND AREA_CONSTRUCAO in (403.95, 3444.27] AND X in (-inf, 614244.56] AND AREA_TERRENO in (413.0, inf)
88	4	1509	0.2665799856185913	0.5434062292909212	820.0	NaN	Y in (-inf, 7793429.0] AND AREA_CONSTRUCAO in (403.95, 3444.27] AND AREA_TERRENO in (413.0, inf) AND X in (-inf, 614244.56]
89	3	1511	0.26640674471855164	0.542686962276638	820.0	NaN	Y in (-inf, 7793429.0] AND AREA_CONSTRUCAO in (403.95, 3444.27] AND AREA_TERRENO in (413.0, inf)
90	4	2002	0.2633790969848633	0.4695304695304695	940.0	NaN	TIPO_CONSTRUTIVO = 'CASA' AND AREA_CONSTRUCAO in (416.73, 3444.27] AND X in (608790.4, 614227.2] AND Y in (7791068.0, 7795429.5]
91	4	2002	0.2633790969848633	0.4695304695304695	940.0	NaN	TIPO_CONSTRUTIVO = 'CASA' AND AREA_CONSTRUCAO in (416.73, 3444.27] AND Y in (7791068.0, 7795429.5] AND X in (608790.4, 614227.2]
92	5	2002	0.2633790969848633	0.4695304695304695	940.0	NaN	TIPO_CONSTRUTIVO = 'CASA' AND X in (609141.75, 614244.56] AND AREA_CONSTRUCAO in (416.73, 3444.27] AND X in (-inf, 614227.2] AND Y in (7791068.0, 7795429.5]
93	5	2002	0.2633790969848633	0.4695304695304695	940.0	NaN	TIPO_CONSTRUTIVO = 'CASA' AND X in (609141.75, 614244.56] AND AREA_CONSTRUCAO in (416.73, 3444.27] AND Y in (7791068.0, 7795429.5] AND X in (-inf, 614227.2]
94	4	2003	0.26330533623695374	0.46929605591612583	940.0	NaN	TIPO_CONSTRUTIVO = 'CASA' AND X in (609141.75, 614244.56] AND AREA_CONSTRUCAO in (416.73, 3444.27] AND Y in (7791068.0, 7795429.5]
95	3	2006	0.2630842328071594	0.46859421734795614	940.0	NaN	TIPO_CONSTRUTIVO = 'CASA' AND AREA_CONSTRUCAO in (416.73, 3444.27] AND Y in (7791068.0, 7795429.5]
96	3	1685	0.2626076340675354	0.5068249258160238	854.0	NaN	Y in (-inf, 7793429.0] AND X in (609126.25, 614244.56] AND AREA_CONSTRUCAO in (403.95, 3444.27]
97	3	1685	0.2626076340675354	0.5068249258160238	854.0	NaN	Y in (-inf, 7793429.0] AND AREA_CONSTRUCAO in (403.95, 3444.27] AND X in (-inf, 614244.56]
98	2	1687	0.26244622468948364	0.5062240663900415	854.0	NaN	Y in (-inf, 7793429.0] AND AREA_CONSTRUCAO in (403.95, 3444.27]
99	4	1911	0.26106956601142883	0.47514390371533227	908.0	NaN	AREA_CONSTRUCAO in (422.97, 3444.27] AND X in (608860.4, 614227.2] AND TIPO_CONSTRUTIVO = 'CASA' AND Y in (7791068.0, 7795429.5]
100	4	1911	0.26106956601142883	0.47514390371533227	908.0	NaN	AREA_CONSTRUCAO in (422.97, 3444.27] AND TIPO_CONSTRUTIVO = 'CASA' AND X in (608790.4, 614227.2] AND Y in (7791068.0, 7795429.5]
101	4	1911	0.26106956601142883	0.47514390371533227	908.0	NaN	AREA_CONSTRUCAO in (422.97, 3444.27] AND TIPO_CONSTRUTIVO = 'CASA' AND Y in (7791068.0, 7795429.5] AND X in (608790.4, 614227.2]
