X,Y,AREA_TERRENO,AREA_CONSTRUCAO,TIPO_CONSTRUTIVO,PADRAO_ACABAMENTO
608790.402764155,7793507.16591641,2.92764748384939,2.72672720902657,CASA,P2
608805.058538859,7793522.40352049,2.55630250076729,2.1846914308176,CASA,P3
608816.539954537,7793621.02612986,1.45484486000851,1.70243053644553,CASA,P2
608818.141305474,7793938.6920177,3.30835094858673,2.35264551866897,APARTAMENTO,P4
608820.553403626,7793515.42227144,2.47712125471966,2.06069784035361,CASA,P1
608860.384450699,7793954.77693572,3.41912930774198,2.64144436328796,APARTAMENTO,P4
608871.03644066,7793365.56641495,3.53999768226692,2.18559881058231,APARTAMENTO,P4
608879.812591305,7793864.06540115,3.72077928135836,2.58250652638229,APARTAMENTO,P4
608895.715672353,7793394.50300381,2.63913273389891,2.52113808370404,CASA,P2
608928.289871682,7793918.70026542,3.7339592206237,2.57096302163179,APARTAMENTO,P5
608935.493493977,7793966.7820101,2.74036268949424,2.36310406607464,APARTAMENTO,P4
608944.02173986,7793983.21212394,2.92941892571429,2.36806363550624,APARTAMENTO,P4
608961.060249468,7793743.77831675,2.76042248342321,2.36735592102602,CASA,P2
608971.476375265,7793501.54827554,1.40140054078154,1.70243053644553,CASA,P2
608975.671005922,7793952.29058809,3.11594317693906,2.67441100416563,APARTAMENTO,P5
608976.163043741,7793685.37429114,2.77887447200274,1.77283492723902,CASA,P1
608979.991872158,7793987.433308,3.38765672862014,2.3613689227436,APARTAMENTO,P4
608988.315523006,7793688.78970189,2.76042248342321,1.56820172406699,BARRACAO,P1
608992.179097657,7794026.77722404,3.26245108973043,2.8225472673966,APARTAMENTO,P5
609000.045943527,7793538.24844199,2.26519530628572,1.70243053644553,CASA,P2
609001.929527585,7793595.7092021,2.64443858946784,1.39794000867204,BARRACAO,P1
609004.505540175,7793898.23283776,3.601397186726,2.798104845323,APARTAMENTO,P5
609017.279534654,7793995.4044744,3.08421868673924,2.53197679286786,APARTAMENTO,P4
609027.114899411,7793656.58926375,2.63548374681491,2.30269881899179,APARTAMENTO,P3
609029.463355119,7793605.8830209,2.63548374681491,2.16193670524578,APARTAMENTO,P3
609033.483310419,7793841.30185082,3.7393634531585,2.4019344635923,APARTAMENTO,P4
609034.775986742,7793702.3552824,3.23754373814287,1.96647026372928,BARRACAO,P3
609036.667845802,7794013.89492071,2.85064623518307,2.65311599316557,APARTAMENTO,P4
609038.49809704,7793660.1729307,2.63548374681491,2.08134730780413,APARTAMENTO,P3
609040.81091314,7793609.51336303,2.63548374681491,2.17026171539496,APARTAMENTO,P3
609041.512476934,7794049.1992015,3.31365634661803,2.57110295863378,APARTAMENTO,P4
609041.527702418,7793767.20864822,3.23754373814287,2.68765379178906,APARTAMENTO,P4
609050.418749534,7793663.20622801,2.63548374681491,2.09342168516224,APARTAMENTO,P3
609052.32047311,7793612.70021885,2.63548374681491,2.16435285578444,APARTAMENTO,P3
609053.950113656,7794030.49734802,2.81822589361396,2.41798623068638,APARTAMENTO,P4
609057.611240055,7793708.94559096,2.76042248342321,2.40606304605758,APARTAMENTO,P3
609061.931875297,7793666.32372046,2.63548374681491,2.1609484808647,APARTAMENTO,P3
609063.934674999,7793615.60147066,2.63548374681491,2.16136800223497,APARTAMENTO,P3
609067.469010448,7793929.69551176,3.40414924920969,2.55141339858115,APARTAMENTO,P4
609073.304697857,7793669.60964126,2.63548374681491,2.16193670524578,APARTAMENTO,P3
609075.509600824,7793618.3863321,2.63548374681491,2.16435285578444,APARTAMENTO,P3
609076.761332309,7793537.80216229,1.40140054078154,1.70243053644553,CASA,P2
609081.968635282,7793778.31451537,3.36248247475117,2.74841287129217,APARTAMENTO,P4
609086.362410631,7793716.7298674,3.36248247475117,1.93976877545335,APARTAMENTO,P3
609087.041485641,7793621.66938644,2.63548374681491,2.36644163615683,APARTAMENTO,P3
609090.832494933,7793674.29894175,2.93651374247889,2.22983536655727,APARTAMENTO,P4
609098.546780425,7793624.81040464,2.63548374681491,2.14301480025409,APARTAMENTO,P3
609101.532479299,7793954.978224,2.8677620246502,2.56556449074225,APARTAMENTO,P4
609107.971598251,7793679.36142012,2.63548374681491,2.45798780930174,APARTAMENTO,P3
609109.563944941,7793932.35469568,2.81023251799508,2.49416851349031,APARTAMENTO,P4
609110.256067905,7793627.5693393,2.63548374681491,2.16462048907971,APARTAMENTO,P3
609114.481580779,7793849.17894916,3.7313647113609,2.52891670027765,APARTAMENTO,P4
609119.532553284,7793682.57491341,2.63548374681491,2.22610991999127,APARTAMENTO,P3
609126.256493495,7792999.92848821,3.20411998265592,2.12152701645538,CASA,P2
