Nr.	Depth	Coverage	Quality	Probability	Positives	p-Value	Conditions
227	5	5787	0.11553642153739929	0.7497839986175912	4339.0	NaN	Y >= 7793407.0 AND X <= 612794.75 AND AREA_CONSTRUCAO <= 697.9 AND AREA_CONSTRUCAO <= 696.75 AND AREA_TERRENO >= 352.5
228	5	5326	0.11553633213043213	0.775628989861059	4131.0	NaN	Y >= 7793407.0 AND X <= 612794.75 AND AREA_TERRENO >= 352.5 AND AREA_CONSTRUCAO <= 697.9 AND AREA_TERRENO >= 360.12
229	5	5326	0.11553633213043213	0.775628989861059	4131.0	NaN	Y >= 7793407.0 AND X <= 612794.75 AND AREA_CONSTRUCAO <= 697.9 AND AREA_TERRENO >= 352.5 AND AREA_TERRENO >= 360.12
230	5	5786	0.11549970507621765	0.7497407535430349	4338.0	NaN	Y >= 7793407.0 AND X <= 612794.75 AND AREA_TERRENO >= 352.5 AND AREA_CONSTRUCAO <= 697.9 AND AREA_TERRENO <= 10252.55
231	5	5786	0.11549970507621765	0.7497407535430349	4338.0	NaN	Y >= 7793407.0 AND X <= 612794.75 AND AREA_CONSTRUCAO <= 697.9 AND AREA_TERRENO <= 10252.55 AND AREA_TERRENO >= 352.5
232	5	5786	0.11549970507621765	0.7497407535430349	4338.0	NaN	Y >= 7793407.0 AND X <= 612794.75 AND AREA_CONSTRUCAO <= 697.9 AND AREA_TERRENO >= 352.5 AND AREA_TERRENO <= 10252.55
233	4	6090	0.1154889166355133	0.7348111658456487	4475.0	NaN	X <= 612748.1 AND Y >= 7793317.0 AND AREA_TERRENO >= 335.75 AND AREA_CONSTRUCAO <= 697.9
234	4	6090	0.1154889166355133	0.7348111658456487	4475.0	NaN	X <= 612748.1 AND Y >= 7793317.0 AND AREA_CONSTRUCAO <= 697.9 AND AREA_TERRENO >= 335.75
235	5	6090	0.1154889166355133	0.7348111658456487	4475.0	NaN	X <= 612748.1 AND Y >= 7793317.0 AND AREA_TERRENO <= 15968.0 AND AREA_TERRENO >= 335.75 AND AREA_CONSTRUCAO <= 697.9
236	5	6090	0.1154889166355133	0.7348111658456487	4475.0	NaN	X <= 612748.1 AND Y >= 7793317.0 AND AREA_TERRENO <= 15968.0 AND AREA_CONSTRUCAO <= 697.9 AND AREA_TERRENO >= 335.75
237	5	6090	0.1154889166355133	0.7348111658456487	4475.0	NaN	X <= 612748.1 AND Y >= 7793317.0 AND AREA_TERRENO >= 335.75 AND AREA_TERRENO <= 15968.0 AND AREA_CONSTRUCAO <= 697.9
238	5	6088	0.11548236012458801	0.7348883048620236	4474.0	NaN	X <= 612748.1 AND Y >= 7793317.0 AND Y >= 7793318.5 AND AREA_TERRENO >= 335.75 AND AREA_CONSTRUCAO <= 697.9
239	5	6088	0.11548236012458801	0.7348883048620236	4474.0	NaN	X <= 612748.1 AND Y >= 7793317.0 AND Y >= 7793318.5 AND AREA_CONSTRUCAO <= 697.9 AND AREA_TERRENO >= 335.75
240	5	6088	0.11548236012458801	0.7348883048620236	4474.0	NaN	X <= 612748.1 AND Y >= 7793317.0 AND AREA_TERRENO >= 335.75 AND Y >= 7793318.5 AND AREA_CONSTRUCAO <= 697.9
241	5	6088	0.11548236012458801	0.7348883048620236	4474.0	NaN	X <= 612748.1 AND Y >= 7793317.0 AND AREA_TERRENO >= 335.75 AND AREA_CONSTRUCAO <= 697.9 AND Y >= 7793318.5
242	5	6088	0.11548236012458801	0.7348883048620236	4474.0	NaN	X <= 612748.1 AND Y >= 7793317.0 AND AREA_CONSTRUCAO <= 697.9 AND Y >= 7793318.5 AND AREA_TERRENO >= 335.75
243	5	6088	0.11548236012458801	0.7348883048620236	4474.0	NaN	X <= 612748.1 AND Y >= 7793317.0 AND AREA_CONSTRUCAO <= 697.9 AND AREA_TERRENO >= 335.75 AND Y >= 7793318.5
244	5	5840	0.1154753565788269	0.7469178082191781	4362.0	NaN	Y >= 7793407.0 AND X <= 612794.75 AND AREA_TERRENO >= 352.5 AND AREA_CONSTRUCAO >= 40.01 AND Y <= 7797546.5
245	5	5785	0.11546303331851959	0.7496974935177182	4337.0	NaN	Y >= 7793407.0 AND X <= 612794.75 AND Y >= 7793407.5 AND AREA_TERRENO >= 352.5 AND AREA_CONSTRUCAO <= 697.9
246	5	5785	0.11546303331851959	0.7496974935177182	4337.0	NaN	Y >= 7793407.0 AND X <= 612794.75 AND Y >= 7793407.5 AND AREA_CONSTRUCAO <= 697.9 AND AREA_TERRENO >= 352.5
247	5	5785	0.11546303331851959	0.7496974935177182	4337.0	NaN	Y >= 7793407.0 AND X <= 612794.75 AND AREA_TERRENO >= 352.5 AND Y >= 7793407.5 AND AREA_CONSTRUCAO <= 697.9
248	5	5785	0.11546303331851959	0.7496974935177182	4337.0	NaN	Y >= 7793407.0 AND X <= 612794.75 AND AREA_TERRENO >= 352.5 AND AREA_CONSTRUCAO <= 697.9 AND Y >= 7793407.5
249	5	5785	0.11546303331851959	0.7496974935177182	4337.0	NaN	Y >= 7793407.0 AND X <= 612794.75 AND AREA_CONSTRUCAO <= 697.9 AND Y >= 7793407.5 AND AREA_TERRENO >= 352.5
250	5	5785	0.11546303331851959	0.7496974935177182	4337.0	NaN	Y >= 7793407.0 AND X <= 612794.75 AND AREA_CONSTRUCAO <= 697.9 AND AREA_TERRENO >= 352.5 AND Y >= 7793407.5
251	5	5814	0.11545738577842712	0.7481940144478845	4350.0	NaN	Y >= 7793407.0 AND X <= 612794.75 AND AREA_TERRENO >= 352.5 AND Y <= 7797452.0 AND AREA_CONSTRUCAO >= 40.01
